group,names,scores,logfoldchanges,pvals,pvals_adj
0,Tbc1d8,34.71861,2.0484254,4.127271617712095e-264,6.6944345639290175e-261
0,Mgst2,34.578346,2.8290505,5.34650434617978e-262,4.336015024751802e-259
0,Hsd11b1,34.45136,2.7255616,4.2968742373331384e-260,2.069712095406519e-257
0,N4bp2l1,34.446365,1.3858471,5.1040988789309965e-260,2.069712095406519e-257
0,Sgms2,34.38168,2.6249561,4.737032705230644e-259,1.536693409576821e-256
0,Prdx5,34.252365,2.5110795,4.021511587335047e-257,1.0871486324429077e-254
0,Ly6c2,34.209526,2.538049,1.7450202145484652e-256,4.043461125710872e-254
0,Mgst1,34.007812,2.0320187,1.7077236528148366e-253,3.462409706082081e-251
0,1810021B22Rik,33.862213,1.781311,2.3992447370548207e-251,4.3239721816699104e-249
0,Samd10,33.814663,1.3445811,1.2007710810098216e-250,1.9476506933979304e-248
0,Fcnb,33.736984,3.286041,1.659213313718325e-249,2.4465854498646575e-247
0,Cebpe,33.547413,2.8233013,9.820238254176801e-247,1.3273688706895642e-244
0,Rhou,33.382862,2.6704974,2.430953157240536e-244,3.033081554649346e-242
0,Sorl1,33.337017,2.4002643,1.1235839434350614e-243,1.3017522544654784e-241
0,Sp140,33.318573,2.012699,2.078552259563828e-243,2.247607843341686e-241
0,Pnkp,33.28226,1.6426247,6.973009190248399e-243,7.068888066614314e-241
0,G0s2,33.01285,2.9875426,5.312342965464693e-239,5.068600170578666e-237
0,Lipg,32.76024,2.8758173,2.1703996245119996e-235,1.9557712171991464e-233
0,Dach1,32.692547,2.3233528,1.9931568061685303e-234,1.7015264945291348e-232
0,Gstm1,32.68642,2.9765964,2.4356900771236991e-234,1.97534465254732e-232
0,Ceacam1,32.61288,2.5968776,2.6935051970254216e-233,2.08041210932154e-231
0,Mgll,32.52709,1.5847175,4.415678237674612e-232,3.2555591370491917e-230
0,C030014I23Rik,32.524593,1.132046,4.7895798593592094e-232,3.3776950138611464e-230
0,Acpp,32.367817,2.3511095,7.790401017089321e-230,5.2650126873828656e-228
0,Slc25a29,32.29065,1.8221326,9.463849757455799e-229,6.140145722637322e-227
0,Slc40a1,32.25785,2.8173957,2.7302433668107704e-228,1.703251823448873e-226
0,Tmem216,32.229877,2.518072,6.734407673326071e-228,4.045633054124032e-226
0,C3,32.068848,2.4457612,1.1990719476565675e-225,6.946052496781974e-224
0,Gm12708,32.007454,1.628863,8.588421082315856e-225,4.803592757074592e-223
0,Ccno,31.831497,2.4765985,2.3739367423417606e-222,1.2835084653594452e-220
0,Olfml2b,31.723803,2.4366794,7.298312743673977e-221,3.8186655710449006e-219
0,Pde2a,31.720284,2.5986872,8.16087062124474e-221,4.136541296143428e-219
0,F3,31.705702,1.5342568,1.296515413677694e-220,6.372569699955211e-219
0,B230208H11Rik,31.66553,1.9537352,4.635980551769322e-220,2.2116354279323063e-218
0,Chit1,31.557493,3.159849,1.4151766941726986e-218,6.558333136994621e-217
0,Msrb1,31.416435,2.3669217,1.206923117063898e-216,5.437859155215675e-215
0,Pygl,31.406334,2.4060524,1.6580609847179486e-216,7.268580857331116e-215
0,Vsir,31.396746,1.7198601,2.2413357014907333e-216,9.566964494257813e-215
0,Rnf144a,31.310555,2.205731,3.352158985694771e-215,1.394154326871005e-213
0,Mogat2,31.234522,2.680185,3.6226411679360247e-214,1.468980993598058e-212
0,Parp6,31.15741,0.8125845,4.0255131469871944e-213,1.592532274247129e-211
0,Clec4b2,30.911777,2.5262358,8.297254364784763e-210,3.204320614209735e-208
0,Gja5,30.893677,2.2252872,1.45248885119243e-209,5.478923061939817e-208
0,Acox2,30.885109,2.5262537,1.8930965708992693e-209,6.978642359087761e-208
0,Fah,30.872683,2.238402,2.7796570782886436e-209,1.0019119513298178e-207
0,Igsf6,30.807543,1.8264679,2.0766297494041914e-208,7.322377072899127e-207
0,Arhgef3,30.583017,1.3806903,2.058882610508145e-205,7.105335306902578e-204
0,Vipr1,30.41041,2.1118076,4.00119273787272e-203,1.3520697126728234e-201
0,Gda,30.400822,2.3680446,5.357381793955851e-203,1.7734027081217124e-201
0,Msra,30.364677,1.866224,1.6083979535596237e-202,5.217642961347419e-201
0,R74862,30.243477,1.4086192,6.356536661242465e-201,2.0216279342226037e-199
0,Pknox2,30.233263,1.9863325,8.6595135936539e-201,2.701102124789736e-199
0,Pglyrp1,30.173288,2.5084257,5.309589408852014e-200,1.6249347209732013e-198
0,Ppp1r42,30.13896,2.5057032,1.4967262101904581e-199,4.495722060979487e-198
0,Mirt1,29.867622,1.6795834,5.183885692734475e-196,1.5287750170209667e-194
0,Cystm1,29.59952,1.8968885,1.5156834301321468e-192,4.3900687922756116e-191
0,Ffar2,29.498747,1.7938386,2.987472675633158e-191,8.501194175222776e-190
0,Cdkn1b,29.485073,1.1785712,4.473550307767713e-191,1.2510514826205571e-189
0,4930481A15Rik,29.390202,0.63618404,7.327293736760454e-190,2.014384820512789e-188
0,F730016J06Rik,29.237623,2.3966732,6.451235817834729e-188,1.7153941797586772e-186
0,Slc2a4rg-ps,29.183039,0.8003999,3.183565968060621e-187,8.328619355152142e-186
0,Abtb1,29.024105,1.3609703,3.2667105608623016e-185,8.410483380505799e-184
0,Ly6i,28.989664,2.249571,8.881967685973968e-185,2.2510236854140273e-183
0,Scml4,28.958796,1.09854,2.1746263306028392e-184,5.426529089596623e-183
0,Desi1,28.949888,1.4598622,2.8153888706475226e-184,6.9190314366519416e-183
0,Sp100,28.927816,1.3685623,5.336717345335951e-184,1.2919635125574496e-182
0,Golim4,28.881289,1.5063276,2.05135323895172e-183,4.8930808140877795e-182
0,Padi4,28.858421,1.4451993,3.972715852649899e-183,9.338761033330631e-182
0,Wfdc21,28.760656,3.2960193,6.664696867849954e-182,1.5443054742360892e-180
0,Cib2,28.711575,2.0071847,2.735592624593425e-181,6.249480615620473e-180
0,R3hdm4,28.681501,1.280147,6.490775466405146e-181,1.4622274731262705e-179
0,Osgin1,28.531704,1.396299,4.738038200500135e-179,1.0527531453713998e-177
0,Pygm,28.46072,1.7652643,3.5904647616582836e-178,7.869910599202346e-177
0,Lcn2,28.401937,3.6599941,1.913754924031966e-177,4.138813982373131e-176
0,2610035D17Rik,28.36863,1.0898402,4.931637988699375e-177,1.0525153707461034e-175
0,Fbxl21,28.332428,1.3837553,1.3780600141179434e-176,2.9028744712977977e-175
0,Chil3,28.310753,3.1497066,2.548018824319436e-176,5.298572478264263e-175
0,C130026I21Rik,28.070143,2.0984416,2.2682884302275846e-173,4.6571694099103065e-172
0,Cnn2,28.02716,1.3993423,7.584669950832888e-173,1.537791832531368e-171
0,2310001H17Rik,28.017515,1.0784369,9.942084642384661e-173,1.9908717641911013e-171
0,Itgb2l,27.986534,3.092077,2.369833221630141e-172,4.687645714004986e-171
0,Tbc1d20,27.932062,1.2653083,1.0888999976419864e-171,2.127946742379882e-170
0,Ltb,27.79157,2.064439,5.484701835556855e-170,1.0590698068182404e-168
0,Mcemp1,27.540716,2.6271536,5.716745463863829e-167,1.0658116255617392e-165
0,Il1f9,27.479265,1.7162532,3.1066828699646035e-166,5.726181380775667e-165
0,Gfi1,27.366293,2.3969076,6.910804075938141e-165,1.2594746304687264e-163
0,Vcam1,27.26694,1.5327871,1.0466148426804265e-163,1.8862325275862797e-162
0,Cd177,27.258316,2.9335916,1.3244642850748402e-163,2.3607484290015285e-162
0,Plpp6,27.163443,1.3004087,1.7567014325659634e-162,3.0971410039369483e-161
0,Gria2,27.113,2.8697846,6.918689953994872e-162,1.1938420324872003e-160
0,Atp6v1g2,26.937613,1.0288856,7.967966203810029e-160,1.360425387639986e-158
0,Il27,26.900618,1.744344,2.1599757858712248e-159,3.64945908821159e-158
0,Smpdl3a,26.811024,1.276038,2.403617527818379e-158,4.019244979506609e-157
0,Hk1os,26.756664,0.93170166,1.0328639519695592e-157,1.7094952347904337e-156
0,Adpgk,26.562212,1.9537156,1.856022458939851e-155,3.040877200404483e-154
0,Fcgr4,26.554949,1.8895276,2.251508733671609e-155,3.6519471660153497e-154
0,Col1a1,26.50706,2.2508075,8.036247215433337e-155,1.290573562716126e-153
