candidate,overlap_final,prose_final,overlap_initial,prose_initial,unmatched,min_cluster,sizes
seed3,4.5,0.7857142857142857,8.0,0.8181818181818182,0,130,"[430, 430, 130, 471, 415, 505]"
seed5,4.666666666666667,0.7142857142857143,7.0,0.5454545454545454,0,253,"[430, 358, 287, 510, 253, 543]"
seed4,4.5,0.5714285714285714,8.0,0.8181818181818182,0,102,"[381, 385, 633, 445, 102, 435]"
seed2,3.5,0.5,5.833333333333333,0.45454545454545453,0,190,"[540, 190, 488, 311, 416, 436]"
main(d20),3.3333333333333335,0.5,5.0,0.6363636363636364,0,314,"[352, 437, 345, 416, 517, 314]"
