candidate,overlap_final,prose_final,overlap_initial,prose_initial,unmatched,min_cluster,sizes
seed5,4.666666666666667,0.7857142857142857,6.166666666666667,0.6363636363636364,0,107,"[107, 211, 129, 177, 232, 144]"
seed2,4.833333333333333,0.7142857142857143,7.5,0.5454545454545454,0,35,"[180, 133, 195, 244, 213, 35]"
seed4,4.833333333333333,0.5714285714285714,7.5,0.8181818181818182,0,41,"[181, 176, 171, 173, 258, 41]"
seed3,3.6666666666666665,0.42857142857142855,6.666666666666667,0.6363636363636364,0,50,"[230, 50, 200, 242, 105, 173]"
main(d20),3.0,0.42857142857142855,4.5,0.5454545454545454,0,144,"[168, 189, 153, 198, 144, 148]"
